Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000106653,723927
ENSMUSG00000113167,
ENSMUSG00000044424,
ENSMUSG00000093291,100885824
ENSMUSG00002076213,
ENSMUSG00000088027,
ENSMUSG00000101016,
ENSMUSG00000104582,723859
ENSMUSG00000098010,
ENSMUSG00000020607,105005
ENSMUSG00000051255,
ENSMUSG00000100360,
ENSMUSG00000083405,
ENSMUSG00000074925,72351
ENSMUSG00000046961,239845
ENSMUSG00000080687,100316751
ENSMUSG00000065617,723839
ENSMUSG00000076459,791071
ENSMUSG00000065577,723842
ENSMUSG00000070141,723878
ENSMUSG00000113961,
ENSMUSG00000024331,13506
ENSMUSG00000050974,
ENSMUSG00000076145,751539
ENSMUSG00000080411,100316673
ENSMUSG00000119624,115488109
ENSMUSG00000076272,751521
ENSMUSG00000113663,
ENSMUSG00000076241,723881
ENSMUSG00000064386,
ENSMUSG00000070105,751522
ENSMUSG00000114066,
ENSMUSG00000076396,751552
ENSMUSG00000076006,723856
ENSMUSG00000077980,100124453
ENSMUSG00000105853,723934
ENSMUSG00002075306,
ENSMUSG00000105178,723855
ENSMUSG00000099838,
ENSMUSG00000098807,723833
ENSMUSG00000098838,723935
ENSMUSG00000065188,
ENSMUSG00000100132,
ENSMUSG00000076219,723940
ENSMUSG00002075010,
ENSMUSG00002076459,
ENSMUSG00000117685,
ENSMUSG00000022812,56637
ENSMUSG00000076063,723917
ENSMUSG00002075058,
ENSMUSG00000077001,100124450
ENSMUSG00000114124,
ENSMUSG00000101030,
ENSMUSG00000024897,319924
ENSMUSG00000113069,
ENSMUSG00000100641,
ENSMUSG00000113339,
ENSMUSG00000101145,
ENSMUSG00000100656,
ENSMUSG00000020601,217410
ENSMUSG00000100082,
ENSMUSG00000101712,
ENSMUSG00000101558,
ENSMUSG00000100753,
ENSMUSG00000101499,
ENSMUSG00000101108,
ENSMUSG00000098480,102465204
ENSMUSG00000113222,
ENSMUSG00000100300,
ENSMUSG00000113142,
ENSMUSG00000099514,
ENSMUSG00000071235,432677
ENSMUSG00000100446,
ENSMUSG00000102680,
ENSMUSG00000100984,
ENSMUSG00000100137,
ENSMUSG00000100958,
ENSMUSG00000099575,
ENSMUSG00000065428,723912
ENSMUSG00000100597,
ENSMUSG00000065426,387152
ENSMUSG00000099236,751523
ENSMUSG00000070128,723875
ENSMUSG00000077925,100124484
ENSMUSG00000065448,387172
ENSMUSG00000099410,
ENSMUSG00000070136,751524
ENSMUSG00000065438,723857
ENSMUSG00000071234,627191
ENSMUSG00000118287,
ENSMUSG00000093927,108168642
ENSMUSG00000071604,381217
ENSMUSG00000100792,
ENSMUSG00000099766,
ENSMUSG00000099726,
ENSMUSG00000101576,
ENSMUSG00000102115,
ENSMUSG00000102102,
